r_custID,r_Inflightwifiservice,r_DepartureArrivaltimeconvenient,r_EaseofOnlinebooking,r_Gatelocation,r_Foodanddrink,r_Onlineboarding,r_Seatcomfort,r_Inflightentertainment,r_Onboardservice,r_Legroomservice,r_Baggagehandling,r_Checkinservice,r_Inflightservice,r_Cleanliness
1,3,3,3,3,5,3,5,5,3,2,5,4,5,5
2,2,2,2,2,3,5,4,5,5,5,5,3,5,5
3,4,4,4,4,5,5,5,3,3,3,3,4,3,5
4,2,2,2,2,4,4,5,5,5,5,5,3,5,4
5,3,3,3,3,4,5,4,3,3,4,3,3,3,5
6,4,4,4,4,3,5,4,4,4,4,4,3,4,3
7,3,3,3,3,5,4,5,5,5,5,5,4,5,4
8,4,3,4,4,4,4,4,3,3,4,3,3,3,4
9,4,1,1,1,3,2,3,4,4,4,4,3,4,3
10,2,2,5,2,2,5,4,5,5,5,5,3,5,4
11,1,1,1,3,2,1,2,2,2,5,3,3,4,2
12,1,2,2,4,1,2,2,1,2,5,4,1,3,1
13,2,2,2,4,5,2,5,5,2,4,4,2,4,5
14,1,5,1,2,5,1,5,5,4,3,4,5,5,5
15,2,4,2,4,2,2,2,2,3,3,5,3,5,2
16,2,5,2,1,5,2,5,5,4,2,4,4,5,5
18,2,5,2,1,4,1,5,5,5,2,5,5,5,1
19,3,5,3,2,5,3,5,5,3,2,4,5,5,5
21,3,1,3,3,4,3,4,4,1,3,2,4,3,4
22,1,4,1,2,2,4,4,1,1,1,1,4,1,4
23,4,4,3,3,3,4,3,5,5,3,5,4,5,4
24,4,5,5,5,4,4,4,4,4,5,3,1,2,4
25,3,3,3,3,2,4,5,5,5,4,5,5,5,4
26,4,4,5,4,5,4,5,5,5,5,4,5,5,5
27,3,3,3,3,2,4,5,5,5,5,5,4,5,4
28,0,5,0,4,5,5,5,3,3,3,3,4,3,5
29,4,4,4,4,2,4,4,5,5,5,5,4,5,3
30,4,4,5,4,3,4,4,4,4,4,4,3,4,3
31,2,2,2,1,2,2,2,2,4,5,5,5,4,2
32,4,0,4,4,3,4,3,3,5,5,4,3,4,3
33,2,2,2,5,2,2,2,2,3,3,5,5,5,2
34,0,5,0,4,3,5,4,5,5,5,5,5,5,4
36,5,2,5,5,2,4,5,5,5,5,5,3,5,4
37,4,4,4,4,5,5,4,4,4,4,5,5,4,4
38,4,4,4,4,3,4,5,5,5,4,5,4,5,3
39,3,3,3,3,4,5,4,4,4,4,4,5,4,5
40,2,2,2,2,2,4,4,5,5,4,4,3,5,5
41,2,2,2,2,2,4,4,4,4,4,4,3,4,5
42,4,4,4,4,3,5,4,4,4,4,5,5,4,3
43,2,2,2,2,4,4,4,4,4,4,4,4,4,4
45,0,5,0,3,2,5,4,4,4,3,3,4,4,5
46,3,0,3,1,4,3,4,4,3,2,5,3,4,4
47,0,4,0,4,4,4,2,4,4,2,5,5,5,4
48,3,3,3,3,5,3,4,5,1,2,3,2,2,5
50,4,4,4,4,5,4,5,5,3,4,4,5,5,5
51,2,2,4,2,5,5,5,5,5,5,5,3,5,4
52,4,0,4,1,5,4,5,5,4,5,5,3,4,5
54,3,3,3,3,2,5,4,4,4,4,4,5,4,5
56,2,2,2,2,5,5,4,4,4,5,5,5,4,3
57,1,1,1,1,2,4,4,5,5,5,4,3,5,4
58,0,5,0,1,4,4,5,5,5,5,5,4,5,3
59,1,1,1,1,4,4,5,4,4,4,5,5,4,4
60,1,1,1,1,5,5,5,4,4,4,5,3,4,5
62,2,5,5,5,2,2,2,1,4,3,4,2,3,2
64,1,1,1,1,5,5,4,3,3,4,5,5,3,5
65,0,0,0,1,5,0,5,5,5,5,4,3,5,5
66,1,5,5,5,4,3,3,3,3,3,1,2,3,3
67,4,4,4,4,2,4,5,5,5,5,5,4,5,5
68,4,5,5,5,4,3,3,2,2,2,4,2,2,4
70,4,3,3,3,3,4,4,1,1,1,4,1,1,3
71,1,4,1,1,3,1,3,3,5,5,1,4,4,3
72,3,2,2,2,3,3,3,2,2,1,3,3,2,1
73,5,5,5,5,5,5,5,5,3,2,1,3,4,5
74,3,2,3,4,4,3,3,4,1,2,3,1,4,4
76,5,0,4,5,4,4,5,4,5,2,5,4,2,4
77,3,3,3,4,3,2,2,3,4,4,3,2,2,2
80,1,1,1,3,1,3,4,5,5,1,5,1,5,3
81,2,3,2,3,1,2,1,1,5,2,2,5,5,1
82,1,2,1,4,2,1,2,2,3,1,4,2,4,2
83,2,2,2,4,2,4,4,3,2,3,4,4,3,4
84,5,3,5,5,3,5,3,3,3,4,3,1,3,3
85,3,1,3,1,2,3,2,2,3,1,1,4,1,2
86,3,0,3,4,1,3,1,1,3,4,5,5,5,1
87,3,5,3,3,5,3,5,5,4,3,5,4,5,5
88,2,5,2,1,3,4,4,1,1,2,1,5,1,4
89,2,2,0,4,3,4,3,1,1,0,1,1,1,3
91,4,4,4,3,4,4,5,4,4,1,4,4,4,4
92,5,5,5,5,4,5,4,5,5,5,4,3,5,5
94,1,4,4,4,1,1,1,1,3,2,3,3,3,1
95,2,5,0,2,2,0,2,2,5,2,5,3,5,2
96,2,4,0,2,3,0,3,3,5,5,4,3,4,3
97,3,5,3,3,1,3,1,1,1,4,1,2,5,1
98,4,4,4,4,3,4,5,4,4,4,4,3,4,5
99,5,5,5,5,3,4,5,4,4,4,4,4,4,3
101,1,1,1,1,5,4,4,4,4,4,4,3,4,3
102,3,3,3,3,2,4,4,4,4,5,4,4,4,4
103,1,1,1,1,4,4,5,4,4,4,4,3,4,5
104,3,3,1,3,3,4,4,4,4,4,4,3,4,5
106,4,0,4,2,5,4,4,5,5,4,5,3,4,5
108,4,3,3,3,1,4,3,4,4,4,4,2,4,1
109,1,1,3,1,1,1,1,4,5,3,2,1,4,1
111,2,2,2,2,3,5,5,4,4,5,4,5,4,3
112,4,0,4,3,2,4,2,2,3,2,4,1,3,2
113,4,2,5,2,2,4,4,4,4,4,4,3,4,3
114,2,3,3,3,1,4,4,2,2,3,2,4,2,3
